value,nchar,section_lookup,section_title,section,type,issue
+ [RcppArmadillo 0.7.500.0.0](http://dirk.eddelbuettel.com/blog/2016/10/22/#rcpparmadillo_0.7.500.0.0) - RcppArmadillo integrates this library with the R environment and language--and is widely used by (currently) 274 other packages on CRAN.,241,FALSE,NA,## New Releases,link,2016-10-31
+ [September Package Picks](https://www.rstudio.com/rviews/2016/10/26/september-package-picks/),95,FALSE,NA,## New Packages & Tools,link,2016-10-31
+ [JMbayes](https://iprogn.blogspot.sg/2016/10/multivariate-joint-models-for-multiple.html) - Multivariate Joint Models for Multiple Longitudinal Outcomes and a Time-to-Event.,175,FALSE,NA,## New Packages & Tools,link,2016-10-31
+ [rsparkling](http://spark.rstudio.com/h2o.html) - Sparkling Water (H2O) Machine Learning. This package provides bindings to H2O’s distributed machine learning algorithms via sparklyr.,185,FALSE,NA,## New Packages & Tools,link,2016-10-31
+ [tilegramsR](https://github.com/bhaskarvk/tilegramsR) - R wrapper for Tilegrams.,82,FALSE,NA,## New Packages & Tools,link,2016-10-31
"+ [Housing Market Analyzer](https://play.google.com/store/apps/details?id=com.ericrayanderson.housingindexprices&hl=en) - This Android application is a hybrid web app, built with R shiny.",187,FALSE,NA,## New Packages & Tools,link,2016-10-31
"+ [prettyB](https://github.com/jumpingrivers/prettyB) - Prettified base graphics. All plotting functions work exactly as before, with the same inputs. The difference is that the defaults have been changed.",205,FALSE,NA,## New Packages & Tools,link,2016-10-31
![prettyB](https://cdn.rawgit.com/jumpingrivers/prettyB/master/graphics/README-unnamed-chunk-4-1.png),101,FALSE,NA,## New Packages & Tools,image,2016-10-31
"+ [rstudio::conf 2017](https://www.rstudio.com/conference/)  **January 13 and 14, 2017** <br>",93,FALSE,NA,## Upcoming Events,link,2016-10-31
The conference about all things R and RStudio.<br />,52,FALSE,NA,## Upcoming Events,unid,2016-10-31
"<blockquote class=""twitter-tweet"" data-lang=""en""><p lang=""en"" dir=""ltr"">&quot;It&#39;s easier to make an error if I am not using Rcpp&quot;<br>-- <a href=""https://twitter.com/GaborCsardi"">@GaborCsardi</a> , right now in the (wicked) R Hub presentation</p>&mdash; Dirk Eddelbuettel (@eddelbuettel) <a href=""https://twitter.com/eddelbuettel/status/790953188287393792""></a></blockquote>",383,FALSE,NA,## Quote of the Week,unid,2016-10-31
