word,term,estimate,std.error,statistic,p.value,n
series,year,-0.12231487903500157,0.22420554682692212,-0.5455479615293544,0.5853767035486488,57
spatial,year,-0.13812871727474654,0.33761509997944933,-0.40913074469463734,0.6824437149179998,25
building,year,-0.14344068149655226,0.2706688922793698,-0.5299488991461219,0.59614736130267,39
writing,year,-0.14846698188736127,0.4217270611394061,-0.3520451864915636,0.724804374952693,16
modelling,year,-0.14944153548922778,0.42173200326467625,-0.35435189725319294,0.72307517915188,16
methods,year,-0.155401682361743,0.37737595613749764,-0.411795398817412,0.6804893941519297,20
house,year,-0.1639683848051941,0.4356128384655793,-0.37640852226202315,0.7066132112472816,15
github,year,-0.16623427789151962,0.3192255553955358,-0.5207423875746644,0.602546241981246,28
rcpp,year,-0.1701803708039952,0.2898695231412341,-0.5870930098473224,0.5571412419767456,34
set,year,-0.19307279610986397,0.3874051661177989,-0.4983743455066782,0.6182202154451174,19
mining,year,-0.19860838700049618,0.3138989779673096,-0.6327143474203343,0.5269201988729593,29
podcast,year,-0.20616910634388969,0.3777424430803815,-0.5457928017371827,0.5852083718637766,20
zealand,year,-0.2073211870078023,0.4096189203871404,-0.5061318622974208,0.6127640842622972,17
news,year,-0.24485738248435093,0.36061510191110807,-0.6789992465282513,0.49713833936099805,22
sql,year,-0.24556996463592098,0.3606230510236299,-0.6809602545895769,0.49589663988224575,22
day,year,-0.24701587587680418,0.3384016307823245,-0.7299488341877884,0.4654214605352086,25
visualization,year,-0.2587240424009423,0.2556206981405382,-1.012140426354277,0.3114709155206233,44
statistical,year,-0.2605541747955499,0.30419647636212854,-0.8565325210584458,0.3917032923648581,31
plots,year,-0.27789081693657613,0.27157574199510964,-1.0232534573783112,0.30618802347211,39
forecasting,year,-0.28561393563460435,0.3695992257265713,-0.7727665962317273,0.43966052568927094,21
cran,year,-0.2891780217068727,0.24019507696325224,-1.20392984470333,0.22861669536501553,50
scientist,year,-0.31446582007340684,0.370046746961378,-0.8498002553883491,0.3954361476387933,21
model,year,-0.31702975262921107,0.24047985022758128,-1.3183214823578182,0.18739605255976793,50
clustering,year,-0.3453337095030067,0.42437180819546727,-0.8137527112638563,0.4157866305281601,16
social,year,-0.352113526816204,0.43840149435112374,-0.8031759274392205,0.42187305715568146,15
network,year,-0.3609293025928703,0.2918300963578854,-1.236778889831312,0.21616918131072418,34
future,year,-0.36372795099478533,0.3709466754954159,-0.9805397245008609,0.3268197708559915,21
tools,year,-0.36986461079035543,0.3546349697282802,-1.0429445552810095,0.29697397242725787,23
power,year,-0.3779614201925769,0.3337894719288571,-1.1323347558221801,0.2574937233596206,26
learn,year,-0.37982814250709473,0.2965007489393671,-1.2810360306535604,0.20018101080778167,33
regression,year,-0.39187475962416113,0.23029071114105795,-1.7016524795224133,0.08882053349263602,55
statistics,year,-0.40101748352213634,0.2573556752232389,-1.558222810413178,0.11918043950900906,44
bayesian,year,-0.4268417863217643,0.27367777246727804,-1.5596509079771874,0.11884239919312962,39
free,year,-0.4417012966304294,0.38189102301244077,-1.1566160763512898,0.24742925113418923,20
tree,year,-0.44581955741549895,0.4408894621344725,-1.0111821572172726,0.31192925404095223,15
sparklyr,year,-0.4497747440720595,0.32907209647630264,-1.3667969690783215,0.1716889530839067,27
